Order_ID,Order_Date,Ship_Date,Ship_Mode,Country_Region,City,State_Province,Postal_Code,Customer_Name,Product_Name,Quantity,Discount
660274,2018-01-01,15,Standard Class,Canada,Grande Cache,Alberta,N2Z,Pauline Chand,Putty/Woodgrain,76,0.06
848920,2018-01-01,30,Standard Class,United States,New Haven,Connecticut,06510,David Kendrick,Ultra Door Pull Handle,48,0.14
300511,2018-01-01,29,Expedited,Canada,Okotoks,Alberta,T1S,Alan Dominguez,Dixon My First Ticonderoga Pencil,66,0.59
920124,2018-01-01,15,Standard Class,Canada,Lamont,Alberta,N2E,Bill Shonely,Letter Slitter,55,0.01
945176,2018-01-01,22,Standard Class,United States,Fresno,California,93726,Larry Hughes,Rigid 75 Pt. Covers,43,0.26
826155,2018-01-01,29,Second Class,Mexico,Benito Juarez,Chiapas,29120,Adam Shillingsburg,Holmes Replacement Filter for HEPA Air Cleaner,16,0.24
226131,2018-01-01,23,Standard Class,Canada,Fredericton,New Brunswick,E3G,Michael Granlund,Cisco TelePresence System EX90 Videoconferencing Unit,44,0.19
763163,2018-01-01,14,Standard Class,Canada,Kirkland,Québec,H9J,Shahid Shariari,Commercial WindTunnel Clean Air Upright Vacuum,84,0.67
913368,2018-01-01,9,Expedited,Canada,Lacolle,Québec,E5A,Carol Triggs,Padded Folding Chairs,9,0.13
469647,2018-01-01,13,Standard Class,Mexico,San Agustin,Guanajuato,36800,Bruce Geld,End Table,20,0.14
618321,2018-01-01,13,Expedited,Canada,Aylmer,Ontario,N5H,Alan Hwang,Jawbone JAMBOX Wireless Bluetooth Speaker,14,0.19
173185,2018-01-01,4,Expedited,United States,Wilkes Barre,Pennsylvania,18706,Meg Tillman,Assorted,49,0.61
938756,2018-01-01,22,Standard Class,United States,Houston,Texas,77293,Andy Reiter,Maxell 4.7GB DVD-R,24,0.05
915240,2018-01-01,14,Standard Class,Canada,Milton,Ontario,L9T,Tony Chapman,While You Were Out Pads,52,0.64
12751,2018-01-01,11,Standard Class,United States,Albuquerque,New Mexico,87201,Ben Peterman,Desert Sand,20,0.36
750616,2018-01-01,25,First Class,United States,Las Vegas,Nevada,89115,Clay Ludtke,Tenex B1-RE Series Chair Mats for Low Pile Carpets,9,0.16
927526,2018-01-01,18,Standard Class,United States,Los Angeles,California,90065,Brad Eason,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,74,0.05
890537,2018-01-01,11,Second Class,United States,Memphis,Tennessee,38197,Michelle Moray,AT&T TR1909W,5,0.21
261144,2018-01-01,12,Second Class,United States,Silver Spring,Maryland,20910,Pauline Chand,Eldon Gobal File Keepers,31,0.11
822897,2018-01-01,22,First Class,United States,Flushing,New York,11388,Eudokia Martin,Akro-Mils 12-Gallon Tote,92,0.7
97031,2018-01-01,24,Second Class,United States,Decatur,Georgia,30033,Steve Carroll,Xerox 205,67,0.68
69818,2018-01-01,18,Standard Class,United States,Shreveport,Louisiana,71161,Brendan Murry,GE 4 Foot Flourescent Tube,38,0.2
805817,2018-01-01,30,Standard Class,Canada,Hudson Bay,Saskatchewan,K2J,Mike Vittorini,Easel Back,48,0.64
954894,2018-01-01,3,Standard Class,Canada,Amherstburg,Ontario,N9V,Jim Epp,Walnut,4,0.44
595599,2018-01-01,15,First Class,United States,Pittsburgh,Pennsylvania,15255,Dennis Pardue,Eldon ImÃ ge Series Desk Accessories,72,0.08
294780,2018-01-01,11,Expedited,United States,Hartford,Connecticut,06183,Harold Dahlen,Acme Box Cutter Scissors,50,0.27
937271,2018-01-01,13,First Class,United States,Evansville,Indiana,47737,Yana Sorensen,4/Pack,2,0.74
784320,2018-01-01,6,Second Class,Mexico,Lazaro Cardenas,Tabasco,86723,Denny Ordway,Acco 6 Outlet Guardian Premium Surge Suppressor,25,0.55
281157,2018-01-01,28,Second Class,United States,Shreveport,Louisiana,71161,Evan Bailliet,Macally Suction Cup Mount,44,0.2
791667,2018-01-01,18,Expedited,United States,Houston,Texas,77035,Christine Kargatis,Boston KS Multi-Size Manual Pencil Sharpener,94,0.09
475022,2018-01-01,30,Second Class,Canada,Angus,Ontario,J8Y,Valerie Mitchum,Medium Soft,79,0.7
678573,2018-01-01,27,Expedited,United States,Buffalo,New York,14225,Nicole Fjeld,Sharp AL-1530CS Digital Copier,50,0.63
975340,2018-01-01,19,First Class,United States,Atlanta,Georgia,30358,Denny Ordway,Sharp AL-1530CS Digital Copier,1,0.26
360099,2018-01-01,28,Standard Class,United States,Flushing,New York,11355,Alan Hwang,iOttie HLCRIO102 Car Mount,8,0.52
643180,2018-01-01,29,Second Class,United States,Dallas,Texas,75287,Claudia Bergmann,Xerox 204,89,0.47
890583,2018-01-01,29,Expedited,United States,Richmond,California,94807,Alyssa Crouse,Replacement Belts,78,0.35
967384,2018-01-01,11,Second Class,United States,Denver,Colorado,80291,Shahid Collister,Global Troy Executive Leather Low-Back Tilter,32,0.3
